subject_id,label,source_file,channel,window_index,start_s,end_s,annotation_event,annotation_stage,annotation_location,signal_transform,n_samples,duration_s,mean,std,min,max,ptp,rms,line_length,zero_crossing_rate,sample_entropy,skewness,kurtosis,hjorth_mobility,hjorth_complexity,bp_delta,rel_bp_delta,bp_theta,rel_bp_theta,bp_alpha,rel_bp_alpha,bp_beta,rel_bp_beta,rectified_mean,rectified_std,envelope_mean,envelope_std,envelope_cv,burst_fraction,burst_rate_hz,p95_abs,ratio_theta_beta,ratio_alpha_beta,ratio_alpha_delta
brux1,bruxism,brux1.edf,EMG1-EMG2,0,2180.0,2210.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,3.2629968384958867e-06,6.538343470364338e-05,-0.001000081040102545,0.0010000505200512726,0.002000131560153818,6.54648049108346e-05,0.05349789591466764,0.03444234650693404,0.509251653620521,1.2962207743848981,120.40392024580882,0.5362433838384215,2.5800487308927362,1.656539226097785e-06,0.19388754500133684,9.292684704206298e-07,0.1087650564130787,1.1161506014506311e-06,0.13063843980127637,4.8050902640845544e-06,0.5624057312592637,1.7767862435004215e-05,6.292294174731794e-05,1.7693019091851518e-05,4.036538604126396e-05,2.2814300844706685,0.03795572916666667,1.2666666666666666,5.7405567796195935e-05,0.19339251072272418,0.2322850435908045,0.6737845888985579
brux1,bruxism,brux1.edf,EMG1-EMG2,1,2210.0,2240.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,4.906149903625327e-06,6.039998610929934e-05,-0.0005037029262039918,0.0009400786193004942,0.001443781545504486,6.059891607017732e-05,0.035329431472257825,0.033986587668468,0.22656305075345967,2.260034594427697,42.42427898872811,0.41729510250512486,4.2421206230835145,4.1506678976416e-06,0.429911834792287,3.629828042035228e-06,0.3759650427389133,1.161643840538471e-06,0.12031905398762771,7.123968642169359e-07,0.07378760492252232,1.8366357900598494e-05,5.7539857659457904e-05,1.8358649763798734e-05,4.358909831434212e-05,2.374308507170015,0.039322916666666666,0.9333333333333333,5.157436030465073e-05,5.095233042645579,1.6306133545595343,0.2798691365306567
brux1,bruxism,brux1.edf,EMG1-EMG2,2,2360.0,2390.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,3.809504454526986e-06,5.6617760982385664e-05,-0.0005106920179454311,0.0009200574656656288,0.0014307494836110599,5.674577678424725e-05,0.022950925956784468,0.025001627710137378,0.24011208058174863,3.5948520405300752,65.87028847454594,0.4526752504053074,3.9813437213575082,2.15702351454596e-06,0.244138713577745,5.078874272284541e-06,0.5748429828868394,1.2386618620884106e-06,0.14019564994484227,3.605899143867261e-07,0.04081270196352733,1.3326382612817047e-05,5.502706956685373e-05,1.33188716486304e-05,4.194125888444037e-05,3.149009915472326,0.0193359375,0.3,2.0839693064671644e-05,14.084903846860067,3.435098466897131,0.5742458780516082
brux1,bruxism,brux1.edf,EMG1-EMG2,3,2510.0,2540.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,4.145827074225187e-06,6.875735873246494e-05,-0.0005135609027650613,0.0009400786193004942,0.0014536395220655556,6.888223473432212e-05,0.02834931262589269,0.02356924278924409,0.17373949406005212,1.6884893881639265,41.896393451566645,0.3752168763494065,4.538999248967554,4.871965065823526e-06,0.3502926741959512,4.9068785941788074e-06,0.3528029453181684,2.6322103772413796e-06,0.1892550540968134,1.49696767260864e-06,0.1076314797290798,1.7612498519861226e-05,6.646333030892117e-05,1.7606568868927083e-05,5.0132568133545336e-05,2.8473786407084516,0.029231770833333334,0.43333333333333335,2.5247544316588612e-05,3.2778787972274652,1.7583615367287437,0.540276939936647
brux1,bruxism,brux1.edf,EMG1-EMG2,4,2570.0,2600.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,4.142095521081303e-06,6.17697089691214e-05,-0.0005122180205090642,0.0009400786193004942,0.0014522966398095585,6.190843158597799e-05,0.02498288993041567,0.025131844521127676,0.20098172683600354,1.9600544547517633,50.9220923493878,0.39520562185637714,4.394920179282775,4.470978224175234e-06,0.4563799153203021,2.9963233800797085e-06,0.3058529346170716,1.384136943732236e-06,0.1412872685795173,9.438536395014506e-07,0.09634487632734846,1.5557145612793115e-05,5.977852596469997e-05,1.5549160974581246e-05,4.8222443745635235e-05,3.101289119359311,0.024544270833333333,0.3,2.175302825060656e-05,3.174563570748517,1.4664741288313998,0.30958257328295735
brux1,bruxism,brux1.edf,EMG1-EMG2,5,3050.0,3080.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,1.6729093203272826e-05,6.857730047759275e-05,-0.00042575471525361646,0.0009400786193004942,0.0013658333345541107,7.058830427342644e-05,0.02900125144112799,0.007422358226447034,0.13503605898827944,2.5696962341418534,19.262904631316975,0.3499618864415981,5.080932944268857,4.645392371345855e-06,0.6187358702698333,1.6592536416433872e-06,0.22100172900210258,8.435662801513804e-07,0.11235750928151059,3.5934187041218296e-07,0.047861986058554705,3.3885490530395876e-05,5.962063126392151e-05,3.3854246343841645e-05,5.108613486996897e-05,1.5090022785062513,0.08411458333333334,0.6333333333333333,0.00014884523695603857,4.617479281610409,2.3475312776208574,0.18159204061098155
brux1,bruxism,brux1.edf,EMG1-EMG2,6,3260.0,3290.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,5.016389679970281e-06,5.5316269213220235e-05,-0.00036874325947628637,0.0009600997729353597,0.001328843032411646,5.554326066311528e-05,0.024296371897088442,0.016928185428738852,0.18678084916145526,5.481724563149178,62.940066747731706,0.479595525268721,3.678836083147251,4.127260514989849e-06,0.5243824723703537,1.9690895947017952e-06,0.2501795237393695,1.1667464714135021e-06,0.14823910365898077,6.071615656735494e-07,0.07714193998169118,1.5551729371954036e-05,5.308515190908809e-05,1.554164134334006e-05,3.9107598799593836e-05,2.5163107252087187,0.028450520833333333,0.4,3.579613300895688e-05,3.2431064580272024,1.9216408570249044,0.2826927127996843
brux1,bruxism,brux1.edf,EMG1-EMG2,7,3350.0,3380.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,3.953890525215734e-06,5.082824650591954e-05,-0.0005628507855704084,0.0009600997729353597,0.001522950558505768,5.098179962645407e-05,0.02661723867606665,0.016928185428738852,0.2646721548579078,1.7867368854739132,62.252834677852334,0.5230699934780808,3.3680558538969607,2.4230719122291147e-06,0.49815317410535076,1.7063157056921998e-06,0.3507970937744121,4.4865803646112804e-07,0.09223846136096514,2.8596864833365436e-07,0.05879156501425234,1.636256181717245e-05,4.812252293516761e-05,1.635770029290844e-05,3.564984991013812e-05,2.1793925351226426,0.042643229166666664,0.7666666666666667,5.2237983252587926e-05,5.966792918157075,1.5689063786378974,0.18516084239876449
brux1,bruxism,brux1.edf,EMG1-EMG2,8,4280.0,4310.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,4.156441534765458e-06,4.5902321849365635e-05,-0.0004445855868888481,0.0009400786193004942,0.0013846642061893424,4.609011995422309e-05,0.025796096696575718,0.03034051696073963,0.19277381515136965,3.2905322292805628,63.51007876257442,0.5327969116152772,3.3976404688713204,1.3613346923681983e-06,0.29048817189903986,2.775264559169432e-06,0.5921993561530982,2.3276446451426305e-07,0.049668405689553524,3.1684214765678e-07,0.06760930781340145,1.3981572563029599e-05,4.372114797014698e-05,1.3953831484318531e-05,3.277297987730961e-05,2.3486724713667524,0.03619791666666667,0.6333333333333333,3.608041516596853e-05,8.759139463275394,0.7346385770822564,0.17098254075149039
brux1,bruxism,brux1.edf,EMG1-EMG2,9,5450.0,5480.0,SLEEP-S2,S2,EEG-Fp2-F4,none,15360.0,30.0,3.1791720075688097e-10,7.595301684878018e-07,-1.2787901483244825e-05,2.3988760300311293e-05,3.677666178355612e-05,7.59530235023238e-07,0.005288667084783006,0.2136857868350804,2.093154224580193,2.657349223070367,118.59906009891151,0.0,0.0,2.5308432144212073e-12,0.00380356960529387,4.456139611486529e-11,0.06697071192168817,3.096062019492863e-10,0.4653029206371027,3.0834880711224884e-10,0.46341319915741686,5.300628520763233e-07,5.439847881070044e-07,5.292162159168343e-07,1.6543337149726095e-07,0.3126007225811437,0.10768229166666667,26.1,1.3432001731978267e-06,0.14451619428073065,1.004077832662345,122.33322087480312
